date,ag,title,pdf_link,description
2018-01-11,Cynthia H. Coffman,18-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/cynthia-h-coffman/2018/no-18-01.pdf,"This Opinion provides general guidance regarding the Family Educational Rights Privacy Act, 20 U.S.C. § 1232g (FERPA), a federal statute governing privacy of student records. The Opinion addresses misconceptions about FERPA's scope to assure teachers, administrators, and other school staff that they may proactively respond to safety concerns, including threats of school violence, without violating students' and families' privacy rights."
2016-02-29,Cynthia H. Coffman,16-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/cynthia-h-coffman/2016/no-16-01.pdf,"Analyzes the constitutionality of a legislative proposal to create an enterprise that would administer Colorado's Hospital Provider Fee (HPF). The HPF, a part of the State's Medicaid program, is a fee that is collected from Colorado hospitals, used to obtain matching funds from the federal government, and spent to increase the compensation hospitals receive for serving low-income patients. If organized as an enterprise, the HPF would be exempt from the spending limits contained in the Taxpayer's Bill of Rights. Colo. Const. art. X, § 20 (TABOR)."
2015-04-07,Cynthia H. Coffman,15-04,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/cynthia-h-coffman/2015/no-15-04.pdf,"Whether the Healthy Kids Colorado Survey (HKCS or Survey), when administered in accordance with specifically defined passive consent or opt-out procedures, complies with federal and state statutes regarding student privacy."
2015-02-03,Cynthia H. Coffman,15-03,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/cynthia-h-coffman/2015/no-15-03.pdf,The statutory authority of the Colorado State Board of Education (SBOE) to grant waivers to school districts of the performance-based component of the state-mandated assessments for English Language Arts and Math.
2015-01-14,Cynthia H. Coffman,15-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/cynthia-h-coffman/2015/no-15-02.pdf,The permissible disclosures of the Department's Medical Marijuana Registry (Registry) to law enforcement who seek verification of Registry patients' recommended amounts of marijuana plants or ounces provided by their physician on the Registry application.
2015-01-07,John W. Suthers,15-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2015/no-15-01.pdf,"Whether the IEC may release to the Colorado Office of the State Auditor (OSA) complaints the IEC has deemed frivolous, which the IEC must maintain as confidential under the Colorado Constitution."
2014-12-18,John W. Suthers,14-04,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2014/no-14-04.pdf,"The legal distribution of monies from the medical marijuana program cash fund established by section 25-1.5-106(16), C.R.S."
2014-10-08,John W. Suthers,14-03,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2014/no-14-03.pdf,"The legality under Colorado law of sweepstakes offered at internet cafes, cyber cafes, and other similar establishments (sweepstakes cafes)."
2014-08-11,John W. Suthers,14-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2014/no-14-02.pdf,"The implementation of the READ Act, § 22-7-1201 et seq., C.R.S., among English Language Learner students in those districts utilizing literacy instruction in both English and Spanish."
2014-07-31,John W. Suthers,14-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2014/no-14-01.pdf,"How the spending limits set forth in Colo. Const. art. X, § 20 (commonly known as the TABOR Amendment) apply to the transfers of non-cash assets from a TABOR-exempt enterprise operating within CDOT to CDOT, a department of the state (State)."
2013-12-12,John W. Suthers,13-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2013/no-13-02.pdf,The permissibility of gambling via the Internet (Online Gambling) under Colorado law and taxation of the same.
2013-07-18,John W. Suthers,13-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2013/no-13-01.pdf,Distribution of moneys from the Limited Gaming Fund to the state's district attorneys.
2012-12-26,John W. Suthers,12-07,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-07.pdf,"The applicability of Section 24-30-203.5, C.R.S., (the Recovery Audit Statute or the Statute) to state tax refunds."
2012-09-04,John W. Suthers,12-06,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-06.pdf,The effect of congressional redistricting and state legislative reapportionment on candidate petition signature requirements.
2012-06-25,John W. Suthers,12-05,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-05.pdf,"The impact of Senate Bill 12-158 (S.B. 12-158), which will take effect on July 1, 2012, on the Colorado Division of Housing and the Division of Supportive Housing and Homeless Programs (SHHP) within the Department of Local Affairs."
2012-06-18,John W. Suthers,12-04,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-04.pdf,The authority of state institutions of higher education in Colorado to provide discounted tuition to students who cannot prove they are lawfully present within the United States.
2012-05-16,John W. Suthers,12-03,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-03.pdf,The impact of House Bill 11-1230 (H.B. 11-1230) on the Division of Supportive Housing and Homeless Programs (SHHP'') within the Colorado Department of Human Services.
2012-02-15,John W. Suthers,12-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-02.pdf,"The application of Colo. Const. art. X, § 20 (commonly known as the TABOR Amendment) to institute charter schools established under § 22-30.5- 501, C.R.S."
2012-01-22,John W. Suthers,12-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2012/no-12-01.pdf,"Whether it is permissible for the State Board of Education (hereinafter the State Board) to grant waivers to a school district under the Innovation Schools Act of 2008 (hereinafter the Act), when the program for which waivers are being requested is an entirely new program and not an existing school."
2011-03-23,John W. Suthers,11-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2011/no-11-02.pdf,"The extent to which federal law allows the Colorado Mental Health Institute at Pueblo (the Institute) to notify outside authorities, including media and public schools, when forensic patients escape or when civil patients elope, and to what extent the Institute can provide current threat assessments when patients escape or elope."
2011-01-12,John W. Suthers,11-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2011/no-11-01.pdf,Application of Colorado law to interconnection agreements between cooperative electric associations and their customers who install renewable energy systems.
2010-05-20,John W. Suthers,10-03,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2010/no-10-03.pdf,Collegeinvest's authority to engage an outside vendor to provide legislative strategy and lobbying services.
2010-01-31,John W. Suthers,10-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2010/no-10-02.pdf,The application and scope of HB 08-1407.
2010-01-14,John W. Suthers,10-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2010/no-10-01.pdf,The application of Colorado laws allocating a portion of state capital construction appropriations to the acquisition of works of art to construction projects being financed through the Higher Education Federal Mineral Lease Revenues Fund.
2009-11-15,John W. Suthers,09-06,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2009/no-09-06.pdf,The applicability of state sales tax to the purchase and sales of medical marijuana.
2009-07-15,John W. Suthers,09-05,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2009/no-09-05.pdf,"Whether the Governor may order mandatory furloughs for State employees in executive agencies, and, if so, whether he may order mandatory furloughs in a particular department or departments, but exclude otherwise similarly-situated positions in other departments from these furloughs; and whether he may exempt from mandatory furloughs positions with particular duties or positions in particular agencies or divisions?"
2009-07-12,John W. Suthers,09-04,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2009/no-09-04.pdf,"Whether funding limitations on the calculation of Adams State College's full-time equivalent student enrollment enacted into law by House Bill 09-1272 are consistent with Article XVIII, § 9(7)(c)(III)(A) of the Colorado Constitution."
2009-06-08,John W. Suthers,09-03,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2009/no-09-03.pdf,"The applicability of sections 24-72.1-101 through -106, C.R.S. (2008) (Secure and Verifiable Identity Documents Act,  hereinafter SVIDA) and sections 24-76.5-101 through -103, C.R.S. (2008) (Restrictions on Public Benefits Act, ereinafter RPBA) to sales of Lottery tickets and licensing of Lottery retailers."
2009-04-05,John W. Suthers,09-02,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2009/no-09-02.pdf,The question of whether Clinical Security Officers employed at the Colorado Mental Health Institute at Pueblo (CMHIP) must be reclassified unless they become Peace Officers.
2009-01-27,John W. Suthers,09-01,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2009/no-09-01.pdf,Whether any of the revenues raised under the recently-passed Amendment 50 would be available for Mesa State College and its students.
2008-11-20,John W. Suthers,08-03,https://coag.gov/sites/default/files/contentuploads/ago/agopinions/john-w-suthers/2008/no-08-03.pdf,"The legality of pari-mutuel wagering by Colorado residents by telephone, internet or other electronic device."
